schema_version,method_id,config_id,corruption_probability,query_subset,trials,decoder_contract_recall_at_1,decoder_contract_recall_at_8,decoder_contract_recall_at_32,decoder_contract_recall_at_32_ci_low,decoder_contract_recall_at_32_ci_high,decoder_contract_top1_accuracy,decoder_contract_acceptance_coverage,decoder_contract_conditional_risk,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,routing_latency_sec_p50,routing_latency_sec_p95,routing_latency_sec_p99,reranking_latency_sec_p50,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.0,all,512,0.970703125,1,1,0.9925530242771171,0.9999999999999999,0.970703125,0.9375,0.0,10000.0,10000.0,0.0,0.00011289992835372686,0.00015742003452032802,0.0003480189852416513,0.024825200031045824,0.024936000001616776,0.02715187500580214,0.028793177061015737
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.01,all,512,0.966796875,1,1,0.9925530242771171,0.9999999999999999,0.966796875,0.9375,0.0,10000.0,10000.0,0.0,0.0001134999911300838,0.0001569900312460959,0.00040023396839387616,0.024811150040477514,0.02493120008148253,0.026836594985798,0.028375434918561947
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.03,all,512,0.970703125,1,1,0.9925530242771171,0.9999999999999999,0.970703125,0.9375,0.0,10000.0,10000.0,0.0,0.00011404999531805515,0.00014517000527121128,0.00048546698410063967,0.024890850007068366,0.025012250000145286,0.02727880504098721,0.02874683600268326
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.05,all,512,0.966796875,1,1,0.9925530242771171,0.9999999999999999,0.966796875,0.79296875,0.0,10000.0,10000.0,0.0,0.00011460005771368742,0.000156820029951632,0.0004378969583194702,0.02499170001829043,0.025125150044914335,0.027280690014595165,0.029488373089116064
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.1,all,512,0.966796875,1,1,0.9925530242771171,0.9999999999999999,0.966796875,0.001953125,0.0,10000.0,10000.0,0.0,0.00011384993558749557,0.00015771998441778122,0.00041089199832640584,0.025003949995152652,0.025130299967713654,0.027449710021028292,0.03023328197887167
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.15,all,512,0.96484375,1,1,0.9925530242771171,0.9999999999999999,0.96484375,0,0.0,10000.0,10000.0,0.0,0.00011310004629194736,0.00014763996005058287,0.00038740293588489293,0.024871349975001067,0.024987699987832457,0.027074295037891712,0.028138690979685636
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.0,all,512,0.95703125,1,1,0.9925530242771171,0.9999999999999999,0.95703125,0.9375,0.0,1.0,2.0,0.9998875,0.00012275000335648656,0.00028708997415378685,0.0005089890339877455,0.0003902500029653311,0.0005175999831408262,0.0010205449711065738,0.0012778039765544231
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.01,all,512,0,0,0,0.0,0.007446975722882739,0,0,0.0,0.0,0.0,1.0,0.00012229999992996454,0.00029169500921852885,0.0004612809547688806,2.00001522898674e-07,0.00012260000221431255,0.00029199501150287686,0.0004615699569694692
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.03,all,512,0,0,0,0.0,0.007446975722882739,0,0,0.0,0.0,0.0,1.0,0.0001233000075444579,0.00027398505480960014,0.0005335340264718974,2.00001522898674e-07,0.0001235000090673566,0.00027418505633249876,0.0005338230286724859
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.05,all,512,0,0,0,0.0,0.007446975722882739,0,0,0.0,0.0,0.0,1.0,0.0001227000029757619,0.000268169998889789,0.00048602500115521206,2.00001522898674e-07,0.00012290000449866056,0.00026847000117413694,0.0004863470036070789
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.1,all,512,0,0,0,0.0,0.007446975722882739,0,0,0.0,0.0,0.0,1.0,0.0001233000075444579,0.00027428499306552106,0.0004262949991971254,2.00001522898674e-07,0.00012355000944808125,0.00027541000163182615,0.000426495000720024
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.15,all,512,0,0,0,0.0,0.007446975722882739,0,0,0.0,0.0,0.0,1.0,0.00012240000069141388,0.0002671849390026182,0.0004822240630164741,2.00001522898674e-07,0.00012260000221431255,0.0002674849412869662,0.00048243506462313223
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.0,all,512,0.193359375,0.7109375,0.73828125,0.6985321963804407,0.7744813542516229,0.193359375,0,0.0,10.0,10.0,0.9991443359375,4.9799971748143435e-05,6.21348910499364e-05,0.00013186396914534245,0.0019640499958768487,0.0020167999318800867,0.002783490007277578,0.0031282568897586308
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.01,all,512,0.1875,0.70703125,0.751953125,0.7127602505721561,0.7873934218174851,0.1875,0.00390625,0.0,10.0,10.0,0.999130859375,5.010003224015236e-05,6.967000081203878e-05,0.00013450008002109824,0.0019871999975293875,0.002038199978414923,0.0027278149325866254,0.0030484109930694094
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.03,all,512,0.185546875,0.6796875,0.728515625,0.6883982092798265,0.7652295400968246,0.185546875,0.001953125,0.0,9.0,10.0,0.9991501953125,5.019997479394078e-05,7.077995687723159e-05,0.0003162790788337568,0.001961899979505688,0.002020650019403547,0.002777639962732792,0.0029930150893051175
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.05,all,512,0.203125,0.728515625,0.767578125,0.7290817018650534,0.8020892525332476,0.203125,0,0.0,10.0,10.0,0.9991337890625,5.030003376305103e-05,6.544498028233647e-05,0.00031249705119989807,0.001988350006286055,0.0020411500590853393,0.0027866100310347973,0.003180678081698714
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.1,all,512,0.1796875,0.712890625,0.748046875,0.7086901555300428,0.7837091963574333,0.1796875,0,0.0,10.0,10.0,0.9991447265625,5.029997555539012e-05,8.044496644288301e-05,0.0002902150363661343,0.0019484999938867986,0.002002549997996539,0.002806619950570166,0.0029771598905790598
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.15,all,512,0.15234375,0.724609375,0.763671875,0.7249950433577201,0.798421590538416,0.15234375,0,0.0,10.0,10.0,0.99913671875,5.040003452450037e-05,6.867500487715004e-05,0.00031031695543788147,0.00198755000019446,0.0020427999552339315,0.002772199921309948,0.002972253060434013
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.0,all,512,0.228515625,0.759765625,0.94921875,0.9266340388165446,0.9651128189324278,0.228515625,0.00390625,0.0,43.0,44.0,0.9959021484375,8.199992589652538e-05,0.00010953501914627849,0.00025058296741917657,0.008331799996085465,0.008425949956290424,0.009613534988602623,0.010242548019159584
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.01,all,512,0.1953125,0.73828125,0.94140625,0.9175865885145797,0.9586516282300628,0.1953125,0.009765625,0.0,44.0,44.0,0.9958880859375,8.19999841041863e-05,0.00011499999673105773,0.00040027603390626584,0.008368650043848902,0.008459549979306757,0.009650960040744394,0.010434127990156411
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.03,all,512,0.205078125,0.71484375,0.94140625,0.9175865885145797,0.9586516282300628,0.205078125,0.00390625,0.0,44.0,44.0,0.9958865234375,8.279993198812008e-05,0.00011650501983240244,0.0003363250126130877,0.008395749959163368,0.008484849997330457,0.00966278000269085,0.01229129101731814
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.05,all,512,0.23828125,0.748046875,0.953125,0.9312006389371313,0.9683005393140062,0.23828125,0.00390625,0.5,43.5,44.0,0.9958791015625,8.225004421547055e-05,0.00012870499631389965,0.0003449619875755156,0.008346249989699572,0.008441800076980144,0.00958965002791956,0.012860194952227172
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.1,all,512,0.2109375,0.73828125,0.94140625,0.9175865885145797,0.9586516282300628,0.2109375,0,0.0,44.0,44.0,0.995858203125,8.190004155039787e-05,0.00010984002146869896,0.00037682499736547395,0.008389849972445518,0.008468100044410676,0.009682224981952458,0.011225443040020763
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.15,all,512,0.203125,0.744140625,0.94921875,0.9266340388165446,0.9651128189324278,0.203125,0,0.0,44.0,44.0,0.9958740234375,8.239998714998364e-05,0.0001189949747640639,0.00038706303690560156,0.008384149987250566,0.008468699990771711,0.009550950030097738,0.011058183979475864
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.0,all,512,0.228515625,0.763671875,0.94921875,0.9266340388165446,0.9651128189324278,0.228515625,0.015625,0.125,74.0,74.0,0.9929677734375,9.049999061971903e-05,0.00012685998226515948,0.00023341208230703988,0.014044500014279038,0.014136449957732111,0.015440034988569096,0.016373656956711783
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.01,all,512,0.271484375,0.759765625,0.9453125,0.9220969712394934,0.9618955660073142,0.271484375,0.009765625,0.2,73.0,74.0,0.993000390625,8.999998681247234e-05,0.00011438000365160406,0.00022403699811547937,0.013954699970781803,0.014048200042452663,0.015123955090530217,0.016077920994721353
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.03,all,512,0.208984375,0.703125,0.919921875,0.8931649760362443,0.9404244779464908,0.208984375,0,0.0,73.0,74.0,0.9929888671875,9.029998909682035e-05,0.0001144049922004342,0.00027282405877485723,0.01411145000020042,0.014204400009475648,0.015595219901297242,0.019204692015191538
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.05,all,512,0.251953125,0.787109375,0.939453125,0.915340639807479,0.957020416686081,0.251953125,0.005859375,0.0,72.0,74.0,0.9930142578125,9.05499910004437e-05,0.00011959497933275997,0.0002577479963656512,0.013953000016044825,0.014048849989194423,0.015585974999703465,0.01810499997111037
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.1,all,512,0.228515625,0.748046875,0.94921875,0.9266340388165446,0.9651128189324278,0.228515625,0,0.0,73.0,74.0,0.9929880859375,9.019998833537102e-05,0.000134994980180636,0.00043439707369543544,0.014025800046510994,0.014120450068730861,0.015399834990967063,0.01725192399462685
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.15,all,512,0.275390625,0.751953125,0.94921875,0.9266340388165446,0.9651128189324278,0.275390625,0,0.0,73.0,74.0,0.992998046875,9.024998871609569e-05,0.00014366004616022103,0.0003471089783124623,0.014021400013007224,0.014109850046224892,0.015104319993406536,0.016654362063854934
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.0,all,512,0.193359375,0.765625,0.947265625,0.9243620032866211,0.963507694211269,0.193359375,0,0.0,25.0,26.0,0.99762265625,8.854997577145696e-05,0.00011531999916769563,0.0003685279341880229,0.0049971999833360314,0.005097250046674162,0.005763599998317659,0.006164898845599964
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.01,all,512,0.18359375,0.751953125,0.92578125,0.8997688824692767,0.945452052266706,0.18359375,0.001953125,0.0,25.0,26.0,0.9976267578125,8.859997615218163e-05,0.00012192999711260198,0.0002917529444675886,0.004981299978680909,0.0050875499146059155,0.00571074994513765,0.006246739963535217
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.03,all,512,0.181640625,0.7421875,0.912109375,0.8844149764714027,0.9336658365070025,0.181640625,0.00390625,0.0,26.0,26.0,0.99761875,8.810003055259585e-05,0.00011588506749831139,0.0003822079859673961,0.004990249988622963,0.005101000017020851,0.0057352249510586265,0.006138554085046052
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.05,all,512,0.203125,0.73828125,0.9296875,0.9041932796740074,0.9487819755641401,0.203125,0,0.0,25.0,26.0,0.997637109375,8.809997234493494e-05,0.00011077996459789573,0.00022665399243123818,0.004926149966195226,0.005032150016631931,0.005759890034096315,0.0061141720414161676
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.1,all,512,0.185546875,0.716796875,0.912109375,0.8844149764714027,0.9336658365070025,0.185546875,0,0.0,25.0,26.0,0.997632421875,8.83500324562192e-05,0.00012319000670686365,0.00018887895043008014,0.004975299991201609,0.0050611000042408705,0.005775324971182272,0.006302124984795226
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.15,all,512,0.1953125,0.7265625,0.93359375,0.9086366418684898,0.9520929338718228,0.1953125,0,0.0,26.0,26.0,0.99761484375,8.779997006058693e-05,0.00011181503650732335,0.00020561096142046112,0.004970950016286224,0.005078800022602081,0.005777349986601621,0.005980300914961844
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.0,all,512,0.21484375,0.748046875,0.94140625,0.9175865885145797,0.9586516282300628,0.21484375,0.00390625,0.0,39.0,40.0,0.9963201171875,7.90000194683671e-05,0.00010277503170073028,0.00020570305292494576,0.007592249952722341,0.007672199979424477,0.008673020044807345,0.00930871502147056
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.01,all,512,0.216796875,0.76953125,0.943359375,0.9198386034432544,0.9602767735524707,0.216796875,0.001953125,0.0,38.5,40.0,0.9962974609375,7.850001566112041e-05,0.00011190498480573294,0.00028392898850142895,0.007577700016554445,0.007657849986571819,0.008720949932467192,0.009866085072280832
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.03,all,512,0.193359375,0.740234375,0.935546875,0.9108659024588599,0.9537408335325352,0.193359375,0.00390625,0.0,39.0,40.0,0.9963146484375,7.930002175271511e-05,0.00010204496211372316,0.00016498897573910654,0.007621700002346188,0.007701650029048324,0.008843319932930171,0.010917491095606227
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.05,all,512,0.220703125,0.751953125,0.943359375,0.9198386034432544,0.9602767735524707,0.220703125,0.00390625,0.0,39.0,40.0,0.996275390625,7.960002403706312e-05,0.00010395997669547795,0.00025970001122914226,0.007623150071594864,0.007705000112764537,0.0087855649064295,0.010592654014471908
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.1,all,512,0.224609375,0.76953125,0.951171875,0.9289134485442119,0.9667105694558431,0.224609375,0,0.0,39.0,40.0,0.9963138671875,7.909996202215552e-05,0.00010406997753307223,0.0003228470135945826,0.007641600037459284,0.007727099931798875,0.008726144983666018,0.010602350999834009
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.15,all,512,0.20703125,0.771484375,0.947265625,0.9243620032866211,0.963507694211269,0.20703125,0,0.0,39.0,40.0,0.9962794921875,7.910002022981644e-05,0.00010634499485604466,0.0001695010100957006,0.0076484999735839665,0.007729199947789311,0.008689264924032613,0.009544026977382599
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.0,all,512,0.95703125,1,1,0.9925530242771171,0.9999999999999999,0.95703125,0.9375,0.0,11.0,18.0,0.9988328125,0.00020870001753792167,0.00037076002918183797,0.000637288975995034,0.002398400043603033,0.002679149911273271,0.00409564995788969,0.004590450951363891
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.01,all,512,0.900390625,0.97265625,0.974609375,0.9570473392668004,0.9851026017462445,0.900390625,0.8515625,0.0,11.0,18.0,0.99885,0.00020800007041543722,0.0003102150338236242,0.0006490069488063454,0.002410749963019043,0.0026303501217626035,0.004113120067631826,0.004630797012941911
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.03,all,512,0.765625,0.916015625,0.931640625,0.9064124998359672,0.9504399156532629,0.765625,0.654296875,0.0,11.0,18.0,0.9988947265625,0.00020849995780736208,0.0003421699919272213,0.000718993016052991,0.0023291000397875905,0.002548999967984855,0.00403781994828023,0.0047137480368837715
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.05,all,512,0.634765625,0.861328125,0.888671875,0.8584802269199013,0.9130746630455141,0.634765625,0.427734375,0.0,11.0,17.0,0.99890703125,0.0002077000681310892,0.000368125009117648,0.000689115034183487,0.002326750021893531,0.0025445499341003597,0.003973070048959925,0.004482777049997821
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.1,all,512,0.421875,0.79296875,0.83203125,0.7972032842381693,0.861913958445854,0.421875,0,0.0,10.0,17.0,0.9989564453125,0.00020840007346123457,0.0003329600382130591,0.0006802609539590774,0.002159650030080229,0.002379099896643311,0.003755785024259239,0.004548926022835074
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.15,all,512,0.314453125,0.748046875,0.798828125,0.7619372966187927,0.8312682217968281,0.314453125,0,0.0,10.0,16.0,0.99896796875,0.00020789995323866606,0.0003292599983979016,0.0007372670643962913,0.0021752999746240675,0.002395050134509802,0.0037118950276635587,0.004536088964669034
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.0,all,512,0.955078125,1,1,0.9925530242771171,0.9999999999999999,0.955078125,0.9375,0.0,48.0,62.0,0.995185546875,0.0006521500181406736,0.001169259939342737,0.0014239419123623519,0.009405299962963909,0.0101535000721924,0.013109984941547737,0.014003678903682157
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.01,all,512,0.97265625,1,1,0.9925530242771171,0.9999999999999999,0.97265625,0.9375,0.0,48.0,61.0,0.995185546875,0.000660100020468235,0.0012130999879445882,0.0015466279408428813,0.009494600060861558,0.01027759991120547,0.013192715053446592,0.015185420976486055
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.03,all,512,0.966796875,1,1,0.9925530242771171,0.9999999999999999,0.966796875,0.92578125,0.0,47.0,60.0,0.99529453125,0.0006573500577360392,0.0012612100050318985,0.001383603954454884,0.009381300013046712,0.010154100018553436,0.012978285050485282,0.015499627019744352
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.05,all,512,0.94140625,0.98828125,0.99609375,0.985870592855346,0.9989281109196064,0.94140625,0.75,0.0,48.0,61.0,0.99520859375,0.0006537000299431384,0.0011685799341648816,0.0013778800657019011,0.009460450033657253,0.010169200017116964,0.01282552511547692,0.015046235921327018
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.1,all,512,0.77734375,0.931640625,0.974609375,0.9570473392668004,0.9851026017462445,0.77734375,0.001953125,0.0,47.0,60.0,0.9952671875,0.0006510500097647309,0.0012014999520033598,0.0013989879807922983,0.009351650020107627,0.010236000001896173,0.013084779994096607,0.017857901870738706
