schema_version,strategy_id,cost_mode,subset,trials,accepted_exact_coverage,coverage,conditional_risk,silent_wrong_rate,median_latency_sec,p95_latency_sec,p99_latency_sec,median_cold_latency_sec,mean_methods_invoked,mean_persistent_bytes,mean_transient_bytes,mean_materialization_time_sec
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06117025000276044,0.46003497508354485,0.5771758800488891,0.06117025000276044,2.6328125,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10245645005488768,0.47877781490678883,0.6066771030286329,0.10245645005488768,3.140625,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.0033816000213846564,1.109375,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.08783526531769895,0.14580650803633002,0.014877450070343912,2.296875,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.09949119994416833,0.21188110982766362,0.3027153718215412,0.09949119994416833,3.125,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.3071851499262266,0.553724670066731,0.6484424870461225,0.3071851499262266,4,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06117025000276044,0.46003497508354485,0.5771758800488891,0.06476269994163886,2.6328125,806436,12681,0.01213051015020028
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10245645005488768,0.47877781490678883,0.6066771030286329,0.1118734500487335,3.140625,993168,12772,0.015783780201672926
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.004330299969296902,1.109375,246240,12408,0.0011706999957823427
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.08783526531769895,0.14580650803633002,0.01838670007418841,2.296875,541728,12552,0.004208948437735671
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.09949119994416833,0.21188110982766362,0.3027153718215412,0.10407844983274117,3.125,763344,12660,0.009120990622250247
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.3071851499262266,0.553724670066731,0.6484424870461225,0.3393158998223953,4,1674432,13104,0.03402140154503286
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.04055644979234785,0.2786777000874281,0.4426505400333548,0.04055644979234785,2.2734375,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.05487395013915375,0.33125446001649805,0.4706191730347928,0.05487395013915375,2.6614583333333335,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.0033816000213846564,1.109375,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.058314160013105715,0.07384092891705218,0.014877450070343912,2.203125,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.050315799948293716,0.12805028498987658,0.19293711188016452,0.050315799948293716,2.78125,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.1681805998669006,0.4171094700461252,0.5017307300376704,0.1681805998669006,3,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.04055644979234785,0.2786777000874281,0.4426505400333548,0.053874599921982735,2.2734375,806436,12681,0.014733941793110716
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.05487395013915375,0.33125446001649805,0.4706191730347928,0.0716248499811627,2.6614583333333335,993168,12772,0.019255022392220173
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.004330299969296902,1.109375,246240,12408,0.0011706999957823427
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.058314160013105715,0.07384092891705218,0.01838670007418841,2.203125,541728,12552,0.007980760941791232
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.050315799948293716,0.12805028498987658,0.19293711188016452,0.06677709991345182,2.78125,763344,12660,0.015762904689836432
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.1681805998669006,0.4171094700461252,0.5017307300376704,0.20068474992876872,3,1674432,13104,0.03402140154503286
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.0679605501354672,0.46003497508354485,0.5771758800488891,0.0679605501354672,2.51171875,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10653675004141405,0.47877781490678883,0.6066771030286329,0.10653675004141405,2.9583333333333335,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.028243279934395103,0.040675759132718634,0.0033816000213846564,1.171875,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.04588569997576997,0.08971343485172836,0.179999910838669,0.04588569997576997,2.09375,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.10118610004428774,0.22445584498345836,0.2987622918293344,0.10118610004428774,2.78125,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.3071851499262266,0.553724670066731,0.6484424870461225,0.3071851499262266,4,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.0679605501354672,0.46003497508354485,0.5771758800488891,0.07321770000271499,2.51171875,806436,12681,0.01213051015020028
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10653675004141405,0.47877781490678883,0.6066771030286329,0.12039405008545145,2.9583333333333335,993168,12772,0.015783780201672926
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.028243279934395103,0.040675759132718634,0.004330299969296902,1.171875,246240,12408,0.0011706999957823427
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.04588569997576997,0.08971343485172836,0.179999910838669,0.04975274996832013,2.09375,541728,12552,0.004208948437735671
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.10118610004428774,0.22445584498345836,0.2987622918293344,0.10666535003110766,2.78125,763344,12660,0.009120990622250247
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.3071851499262266,0.553724670066731,0.6484424870461225,0.3393158998223953,4,1674432,13104,0.03402140154503286
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06917654990684241,0.423213625093922,0.5653112800675439,0.06917654990684241,2.15234375,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10351450002053753,0.46775233992957505,0.5965679260960316,0.10351450002053753,2.4791666666666665,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.03925475001451559,0.04598779309657401,0.0033816000213846564,1.171875,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.04728445009095594,0.08224572972976602,0.179999910838669,0.04728445009095594,2,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.1002370000933297,0.20594038000563156,0.32286552486242714,0.1002370000933297,2.4375,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.29335839999839664,0.53994458502857,0.6361197430174798,0.29335839999839664,3,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06917654990684241,0.423213625093922,0.5653112800675439,0.07704670005477965,2.15234375,806436,12681,0.0127419894479317
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10351450002053753,0.46775233992957505,0.5965679260960316,0.11897215014323592,2.4791666666666665,993168,12772,0.01647875468188431
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.03925475001451559,0.04598779309657401,0.004330299969296902,1.171875,246240,12408,0.00153169374607387
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.04728445009095594,0.08224572972976602,0.179999910838669,0.05099054996389896,2,541728,12552,0.005203404687563307
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.1002370000933297,0.20594038000563156,0.32286552486242714,0.11677214998053387,2.4375,763344,12660,0.010211457813056768
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->BCF_NATIVE->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.29335839999839664,0.53994458502857,0.6361197430174798,0.3257652497268282,3,1674432,13104,0.03402140154503286
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.036013250006362796,0.25671380007406697,0.43078594005200954,0.036013250006362796,1.7265625,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.04788064997410402,0.3218470250489187,0.4607186880987138,0.04788064997410402,1.9322916666666667,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.019116035080514845,0.0322266400442458,0.0033816000213846564,1.109375,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.031162699975539,0.048454864911036566,0.06442190586123611,0.031162699975539,1.796875,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.04587555001489818,0.10798450999427586,0.1832446129678282,0.04587555001489818,2,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.15245459991274402,0.4030606000043916,0.49001087399898086,0.15245459991274402,2,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.036013250006362796,0.25671380007406697,0.43078594005200954,0.04884110001148656,1.7265625,806436,12681,0.014006608201270865
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.04788064997410402,0.3218470250489187,0.4607186880987138,0.06254975002957508,1.9322916666666667,993168,12772,0.018123020310061595
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.019116035080514845,0.0322266400442458,0.004330299969296902,1.109375,246240,12408,0.001657371874898672
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.031162699975539,0.048454864911036566,0.06442190586123611,0.04172814986668527,1.796875,541728,12552,0.009632201557906228
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.04587555001489818,0.10798450999427586,0.1832446129678282,0.059997649979777634,2,763344,12660,0.016643854687572457
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_FAST->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.15245459991274402,0.4030606000043916,0.49001087399898086,0.18052034988068044,2,1674432,13104,0.028093004684706102
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.036013250006362796,0.25671380007406697,0.43078594005200954,0.036013250006362796,1.7265625,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.04788064997410402,0.3218470250489187,0.4607186880987138,0.04788064997410402,1.9322916666666667,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.019116035080514845,0.0322266400442458,0.0033816000213846564,1.109375,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.031162699975539,0.048454864911036566,0.06442190586123611,0.031162699975539,1.796875,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.04587555001489818,0.10798450999427586,0.1832446129678282,0.04587555001489818,2,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.15245459991274402,0.4030606000043916,0.49001087399898086,0.15245459991274402,2,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.036013250006362796,0.25671380007406697,0.43078594005200954,0.04884110001148656,1.7265625,806436,12681,0.014006608201270865
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.04788064997410402,0.3218470250489187,0.4607186880987138,0.06254975002957508,1.9322916666666667,993168,12772,0.018123020310061595
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.019116035080514845,0.0322266400442458,0.004330299969296902,1.109375,246240,12408,0.001657371874898672
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->BCF_NATIVE->MAP_D1024_ROBUST->MAP_D1024_FAST,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.031162699975539,0.048454864911036566,0.06442190586123611,0.04172814986668527,1.796875,541728,12552,0.009632201557906228
